route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002584,OCESN453811R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:1125:20260516,453811,1,8840,
OCESN-87581009-87582775,000078,OCESN453811R1187_R:CTE:OCESN-87581009-87582775:87581009:87582775:2:1130:20260315,453811,1,8841,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002590,OCESN453811R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:1130:20260525,453811,1,8842,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002591,OCESN453812R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87582775:87581009:2:1240:20260525,453812,0,8843,
OCESN-87582775-87581009,000078,OCESN453812R1187_R:CTE:OCESN-87582775-87581009:87582775:87581009:2:1230:20260315,453812,0,8844,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,001303,OCESN453814R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87586008:87581009:8:1434:20260320,453814,0,8845,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002592,OCESN453815R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:1350:20260516,453815,1,8846,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002583,OCESN453817R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:1405:20260525,453817,1,8847,
OCESN-87582775-87581009,000206,OCESN453818R1187_R:CTE:OCESN-87582775-87581009:87582775:87581009:2:1440:20260314,453818,0,8848,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002593,OCESN453818R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87582775:87581009:2:1440:20260524,453818,0,8849,
OCESN-87581009-87582775,000206,OCESN453819R1187_R:CTE:OCESN-87581009-87582775:87581009:87582775:2:1650:20260314,453819,1,8850,
FR:Line::a7820377-230e-419a-8573-9d4de08fc44f:,002594,OCESN453819R1187_R:CTE:FR:Line::a7820377-230e-419a-8573-9d4de08fc44f::87581009:87582775:2:1650:20260523,453819,1,8851,
