id_gare;nom_gare;trigramme;lat;lon;id_commune;nom_commune
87611533;Ax-les-Thermes;AXN;42.7247967; 1.8332516;9032;AX-LES-THERMES
87171561;Ay;AYN;49.0487318; 4.0015644;51030;AY
87437806;Aytré Plage;ATL;46.1273815; -1.1280462;17028;AYTRE
87571638;Azay-le-Rideau;AZR;47.2663383; 0.4475388;37014;AZAY-LE-RIDEAU
87574442;Azay-sur-Cher;EUR;47.3652695; 0.8599885;37156;MONTLOUIS-SUR-LOIRE
87141408;Azerailles;AZE;48.4913355; 6.695778;54038;AZERAILLES
87590349;Babinière;BBR;47.25875274; -1.544928378;44035;LA CHAPELLE-SUR-ERDRE
87141416;Baccarat;BAC;48.452405; 6.74383;54039;BACCARAT
87613604;Bagnac-sur-Célé;BAG;44.6652105; 2.1602503;46015;BAGNAC-SUR-CELE
87684191;Bagneaux-sur-Loing;BXN;48.2304802; 2.7033327;77016;BAGNEAUX-SUR-LOING
87783647;Bagnols - Chadenet;BCT;44.5286125; 3.628178;48037;CHADENET
87764571;Bagnols-sur-Cèze;BSC;44.161626; 4.627032;30028;BAGNOLS-SUR-CEZE
87773457;Baillargues;BGU;43.6533234; 4.0071585;34022;BAILLARGUES
87394411;Bailleau-le-Pin;BAP;48.3668028; 1.3248851;28021;BAILLEAU-LE-PIN
87286179;Bailleul;BIU;50.72916; 2.73445;59043;BAILLEUL
87342592;Bailleul-Sir-Berthoult;BSH;50.3351257; 2.8409809;62073;BAILLEUL-SIR-BERTHOULT
87710780;Bailly;BLY;48.837331; 2.073981;78043;BAILLY
87144147;Bains-les-Bains;BNS;47.9811282; 6.2952683;88108;LE CLERJUS
87286872;Baisieux;BAI;50.61845; 3.2347796;59044;BAISIEUX
87313569;Balagny Saint-Épin;BXE;49.2942448; 2.3441977;60044;BALAGNY-SUR-THERAIN
87726869;Balbigny;BBY;45.817858; 4.187443;42011;BALBIGNY
87571604;Ballan-Miré;BME;47.3369919; 0.6188975;37018;BALLAN-MIRE
87681437;Ballancourt-sur-Essonne;BUR;48.532114; 2.371274;91045;BALLANCOURT-SUR-ESSONNE
87111864;Balsièges;BKB;44.4820108; 3.4560976;48016;BALSIEGES
87783324;Banassac - La Canourgue;BAA;44.4477632; 3.1958518;48017;BANASSAC
87755223;Bandol;BND;43.140344; 5.750118;83009;BANDOL
87474189;Bannalec;BNC;47.9267473; -3.7065268;29004;BANNALEC
87182840;Bantzenheim;BTZ;47.8109675; 7.5038675;68020;BANTZENHEIM
87784298;Banyuls-sur-Mer;BAN;42.4829582; 3.1250496;66016;BANYULS-SUR-MER
87175042;Bar-le-Duc;BLD;48.773308; 5.166822;55029;BAR-LE-DUC
87118299;Bar-sur-Aube;BRB;48.2385399; 4.7066708;10033;BAR-SUR-AUBE
87615757;Baraqueville Carcenac Peyralès;BAQ;44.2704368; 2.4275453;12056;BARAQUEVILLE
87411264;Barentin;BTM;49.549123; 0.953517;76057;BARENTIN
87783563;Barjac;BJC;44.4992638; 3.4109786;48018;BARJAC
87192658;Baroncourt;BTS;49.2845332; 5.6997387;55158;DOMMARY-BARONCOURT
87214247;Barr;BAR;48.4032933; 7.4565189;67021;BARR
87582759;Barsac;BSQ;44.6054306; -0.3215775;33030;BARSAC
